congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
114,House,20301,41,3,AL,200,0,1,"ROGERS, Mike Dennis",R000575,1958,,0.338,0.446,-137.14192,0.88268,1099,60,,0.389,0.33
114,House,21102,41,7,AL,100,0,1,"SEWELL, Terri",S001185,1965,,-0.39,0.404,-178.69908,0.84513,1062,87,,-0.398,0.437
114,House,21192,41,2,AL,200,0,1,"ROBY, Martha",R000591,1976,,0.367,0.659,-91.44383,0.91988,1095,33,,0.398,0.707
114,House,21193,41,5,AL,200,0,1,"BROOKS, Mo",B001274,1954,,0.603,-0.43,-269.60319,0.78573,1118,107,,0.919,-0.395
114,House,21376,41,1,AL,200,0,1,"BYRNE, Bradley",B001289,1955,,0.543,0.304,-111.01397,0.90384,1098,46,,0.518,0.253
114,House,21500,41,6,AL,200,0,1,"PALMER, Gary James",P000609,1954,,0.778,-0.092,-101.52759,0.91334,1120,39,,0.782,-0.16
114,House,29701,41,4,AL,200,0,1,"ADERHOLT, Robert",A000055,1965,,0.361,0.587,-103.2592,0.91125,1111,42,,0.399,0.917
114,House,14066,81,1,AK,200,0,1,"YOUNG, Donald Edwin",Y000033,1933,,0.279,0.014,-173.45501,0.84759,1049,73,,0.291,0.205
114,House,20304,61,8,AZ,200,0,1,"FRANKS, Trent",F000448,1957,,0.749,0.087,-125.06434,0.89197,1094,45,,0.694,-0.044
114,House,20305,61,3,AZ,100,0,1,"GRIJALVA, Raúl M.",G000551,1948,,-0.599,-0.243,-91.99892,0.91619,1051,35,,-0.765,-0.442
114,House,20902,61,1,AZ,100,0,1,"KIRKPATRICK, Ann",K000368,1950,,-0.161,0.005,-261.64714,0.776,1033,121,,-0.25,0.173
114,House,21103,61,4,AZ,200,0,1,"GOSAR, Paul",G000565,1958,,0.623,-0.347,-169.08126,0.85545,1083,68,,0.762,-0.519
114,House,21105,61,6,AZ,200,0,1,"SCHWEIKERT, David",S001183,1962,,0.632,-0.324,-131.06389,0.88947,1119,57,,0.629,-0.393
114,House,21300,61,9,AZ,100,0,1,"SINEMA, Kyrsten",S001191,1976,,-0.107,0.057,-404.35886,0.68936,1087,179,,-0.11,0.135
114,House,21501,61,2,AZ,200,0,1,"McSALLY, Martha",M001197,1966,,0.344,-0.001,-198.60601,0.83817,1125,93,,0.321,0.006
114,House,21502,61,7,AZ,100,0,1,"GALLEGO, Ruben",G000574,1979,,-0.455,-0.018,-79.34762,0.93101,1110,26,,-0.483,-0.013
114,House,29500,61,5,AZ,200,0,1,"SALMON, Matthew James",S000018,1958,,0.673,-0.272,-162.72287,0.862,1092,62,,0.637,-0.32
114,House,21106,42,1,AR,200,0,1,"CRAWFORD, Rick",C001087,1966,,0.381,0.469,-100.57739,0.91131,1083,39,,0.432,0.364
