Data,Brasil - PIB - paridade do poder de compra (PPC) - US$ - Banco Mundial- World Development Indicators (WDI) - WDI_PIBPPCBRA,
1980,439710227846.397,
1981,459792837933.301,
1982,490637487495.266,
1983,492653322456.165,
1984,538089423802.89,
1985,598584029445.447,
1986,660854020742.003,
1987,704701865212.714,
1988,728493426269.634,
1989,780706858522.413,
1990,998602442857.241,
1991,1047441844932.11,
1992,1066316682544.97,
1993,1142616194780.96,
1994,1229183207755.53,
1995,1310242022990.51,
1996,1363613273492.56,
1997,1434038967170.62,
1998,1454506781784.59,
1999,1483692430534.17,
2000,1579859208220.63,
2001,1638207299756.08,
2002,1714154984065.9,
2003,1768265253636.76,
2004,1921620498174,
2005,2046851603141.45,
2006,2193224871167.55,
2007,2388048518295.76,
2008,2558849705150.24,
2009,2575039660607.66,
2010,2803066111100.81,
2011,2974955344832.28,
2012,3088323997521.82,
2013,3232670078261.04,
2014,3307409583633.35,
2015,3224597686757.07,
2016,3152476024060.3,
2017,3240523597735.66,
